M1,M0,M2
508,505,508
508,505,508
508,505,508
508,505,508
508,505,509
509,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,504,508
509,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
509,505,509
508,505,508
508,505,508
508,505,508
509,505,508
505,505,506
508,505,508
509,505,508
508,505,508
508,505,509
509,505,508
508,505,508
508,505,508
509,505,509
508,504,508
508,505,508
509,505,509
508,505,508
508,505,508
508,505,508
508,505,508
509,505,509
508,505,508
509,505,508
508,505,508
508,504,508
508,505,508
509,505,508
508,505,508
508,505,508
508,505,508
508,505,509
509,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,509
508,505,508
508,505,508
509,505,508
508,505,508
508,505,508
508,505,509
508,505,508
508,505,508
508,505,509
508,505,508
508,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,509
508,505,507
509,505,508
508,505,508
508,505,508
508,505,509
508,504,508
509,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
509,505,508
508,505,508
508,505,508
509,505,509
508,505,508
508,505,509
509,505,508
508,505,508
508,505,508
508,505,508
508,505,509
508,505,508
508,505,508
508,505,508
508,504,508
508,505,509
508,505,508
508,505,508
508,505,508
509,505,508
509,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
509,505,508
508,505,508
508,505,508
509,506,509
508,505,508
508,505,508
509,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
509,505,508
508,505,508
509,505,508
508,505,508
508,505,508
508,505,508
508,505,508
509,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,504,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
509,505,508
508,505,508
508,505,509
508,504,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
509,505,508
508,505,508
508,505,508
508,505,508
508,505,508
509,505,508
508,505,508
509,505,508
508,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,504,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,504,508
508,505,508
508,505,508
508,505,508
509,505,508
508,504,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,504,508
508,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,504,508
508,505,508
508,504,508
508,505,508
508,504,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
507,505,508
508,505,509
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,504,508
509,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,505,508
508,504,508
508,505,508
508,505,508
508,505,508
508,504,508
508,505,508
509,506,508
508,505,509
508,505,509
515,512,515
515,512,515
515,512,515
515,512,515
515,512,515
515,512,515
515,512,515
515,511,515
515,512,515
515,512,515
515,512,514
515,512,515
515,511,515
515,512,514
515,512,515
515,512,515
515,512,515
515,512,515
517,513,517
517,514,517
516,513,517
517,513,516
517,513,517
516,513,516
517,514,517
517,514,517
517,513,517
517,513,517
517,513,516
517,513,516
517,514,517
517,513,517
517,513,517
517,514,517
517,513,517
517,514,517
516,513,516
516,513,516
517,513,517
516,513,517
517,513,516
517,514,517
517,513,517
516,513,516
517,513,517
516,513,516
516,513,517
517,513,516
516,513,516
516,513,517
516,514,517
516,513,516
517,513,517
516,513,516
517,514,517
517,513,517
517,513,517
517,513,517
517,513,517
517,514,516
517,513,516
517,514,517
517,514,517
517,514,517
516,513,516
516,513,516
517,513,517
517,514,517
517,514,517
517,513,517
516,513,517
516,513,517
517,514,517
517,513,516
516,513,516
517,513,516
517,513,517
517,514,517
517,513,517
516,513,516
517,513,517
516,514,517
516,513,517
516,513,517
517,513,517
517,513,517
517,514,517
516,514,517
517,513,517
517,514,517
517,513,517
516,513,517
517,513,517
517,513,517
516,513,517
516,513,516
517,513,517
516,513,516
517,513,517
517,514,517
516,513,517
516,513,517
517,513,516
516,513,516
517,513,516
517,513,517
517,513,517
517,513,517
516,513,517
517,514,517
517,513,516
517,513,516
517,514,517
516,513,516
516,513,517
517,514,517
517,513,516
517,513,517
516,513,516
517,513,516
517,514,517
517,513,517
516,513,516
517,514,517
516,513,517
517,514,516
517,513,517
516,513,517
517,513,517
517,513,517
516,514,517
516,513,516
517,513,517
517,513,517
517,513,516
517,513,517
517,513,517
517,513,516
517,513,517
516,513,516
516,513,516
517,513,516
516,513,517
516,513,517
517,514,517
517,513,517
516,513,516
517,513,517
517,513,517
516,513,516
517,513,517
517,513,517
516,513,516
517,513,517
516,513,517
517,513,516
517,514,517
516,513,516
517,513,516
516,513,516
516,513,516
517,513,517
517,513,517
516,513,516
516,513,516
516,513,516
517,513,516
517,513,517
516,513,517
517,514,517
517,513,517
517,513,517
517,514,516
516,513,516
517,513,517
517,513,517
517,513,516
517,514,517
517,513,517
516,513,517
516,513,517
516,513,517
517,513,516
517,514,517
516,513,517
516,513,517
516,513,517
517,514,517
516,513,517
516,513,516
517,514,517
517,514,517
517,514,517
517,513,517
516,513,516
517,513,517
516,513,517
517,513,517
517,513,517
517,514,517
516,513,516
517,513,517
517,513,517
517,513,516
517,513,516
517,513,517
517,513,517
517,513,517
517,513,517
517,513,517
517,513,516
517,513,517
516,514,517
517,514,517
517,514,517
514,512,515
516,513,516
517,513,517
516,513,516
516,513,516
516,513,516
517,513,516
516,513,516
516,513,516
516,513,517
517,513,517
516,513,516
517,513,517
516,514,517
516,513,516
